dimensionality, num_edges, population_size, success, median_num_eval
6,15,10,False,31.0
6,15,50,True,19.5
6,15,100,True,22.5
6,15,500,True,22.5
6,15,1000,True,24.5
6,15,5000,True,24.5
6,15,10000,True,28.0
6,15,50000,True,29.5
12,66,10,False,500000.0
12,66,50,False,316.0
12,66,100,False,742.0
12,66,500,True,1517.5
12,66,1000,True,1497.0
12,66,5000,True,1617.5
12,66,10000,True,1167.5
12,66,50000,True,1733.0
25,300,10,False,500000.0
25,300,50,False,500000.0
25,300,100,False,500000.0
25,300,500,False,500000.0
25,300,1000,False,254529.0
25,300,5000,True,44120.0
25,300,10000,True,79900.0
25,300,50000,True,280817.5
50,1225,10,False,500000.0
50,1225,50,False,500000.0
50,1225,100,False,500000.0
50,1225,500,False,500000.0
50,1225,1000,False,500000.0
50,1225,5000,False,500000.0
50,1225,10000,False,500000.0
50,1225,50000,False,500000.0
100,4950,10,False,500000.0
100,4950,50,False,500000.0
100,4950,100,False,500000.0
100,4950,500,False,500000.0
100,4950,1000,False,500000.0
100,4950,5000,False,500000.0
100,4950,10000,False,500000.0
100,4950,50000,False,500000.0
